Product url,Product name,Price,Rating,Number of Reviews,Product Discription,ASIN,Manufacturer
amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-15,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black)  ,548,4.3 out of 5 stars,"6,589","[' 30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.  ', ' Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.  ', ' Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.  ', ' Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks  ', ' 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty  ', ' Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ']",B084JGJ8PF,Brand: Wesley
amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&sprefix=ba%2Caps%2C283&sr=8-16,Gear 30 Ltrs Black Laptop Backpack (LBPASPIRE0104)  ,"1,305",4.4 out of 5 stars,"3,727","[' Outer Material: Polyester, Color: Black  ', ' Water Resistance: Water resistant  ', ' Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2  ', ' Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,  ', ' Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks  ']",B075MK4TXP,Brand: Gear
amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-17,American Tourister Casual Backpack  ,999,4.1 out of 5 stars,"10,827","[' Laptop Compatibility: No, Strap Type: Adjustable  ', ' Outer Material: Polyester, Color: Blue  ', ' Water Resistance: Water resistant, Capacity: 29 liters; Dimensions: 33 x 51 x 22 cms (LxHxW)  ', ' Number of Wheels: 0, Number of compartments: 3  ', ' Mesh Padding on back & shoulder strap to provide comfort & better back support  ']",B07CJCFNZG,Visit the American Tourister Store
amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&sprefix=ba%2Caps%2C283&sr=8-18,TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey)  ,695,3.8 out of 5 stars,868,"[' Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.  ', ' Night Vision Reflective Design: night vision reflective material in the front of the bag,it would be noticed easily while you are running or bicycling at night,keeping you safe.  ', ' Inbuilt locking system  ']",B09H7PK5ML,Rama luxury store
amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-19,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black  ,749,4.2 out of 5 stars,"43,138","[' Compatible With 15.6"" Laptop : The Lenovo B210 Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 453g.  ', ' High Quality, Durable and Water Repellent Fabric : This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items  ', ' Convenient Travel : Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use. Fits Up To (L x D x H) 255 x 22 x 362 mm  ', ' Conveniently Placed Padded Laptop Compartments and Packets : The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.  ', ' High Quality, Casual yet Stylish Design : Very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop  ', ' In the Box : 15.6-inch Backpack  ', ' Country of Origin: China  ']",B075Y72PHZ,Visit the Lenovo Store
amazon.in/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&smid=A7G7LRDIK7CR7&sprefix=ba%2Caps%2C283&sr=8-20,DIVING DEEP Women Backpack Latest School Bag for Girls (Black)  ,391,3.3 out of 5 stars,"1,058","[' ?? A perfect pick for daily use, this Polyester Trending Backpack can securely be used to carry mobile phone, cards, cosmetics, umbrella and other daily essential things in a safe, secure and arranged manner. No matter wherever you are heading to, it can be your companion for every hour of need.  ', ' ?? Stylish & Fashionable: This bag is designed for modern fashion-conscious individuals who desire style along with functionality. It is a perfect mid-sized bag to carry all the daily essentials while using it as a fashion day-pack, mini travel bag, college backpack etc.  ', ' ?? Product Material: It is made using the finest grade Polyester inner fabric to ensure durability at its best. Besides, it has sturdy, non-slip, and comfortable top loop handle as well as adjustable straps at its back to ensure you look cool everywhere - be it shopping, traveling, work or date.  ', ' ?? Bag Compartments: This stylish shoulder carry backpack contain 1 large main zippered compartments, 1 front Pocket and 1 inner pocket and mobile pocket to carry anything and everything you want in a secure and arranged manner that fits into this premium backpack.; ?? Zip closure with adjustable strap; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch; Water Resistance Level: Waterproof; Color Name: White  ', ' Water Resistance Level: Waterproof; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch  ']",B08F7YYZTJ,Visit the DIVING DEEP Store
amazon.in/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1658591147&smid=A7G7LRDIK7CR7&sprefix=ba%2Caps%2C283&sr=8-19,DIVING DEEP Women Backpack Latest School Bag for Girls (Black)  ,391,3.3 out of 5 stars,"1,058","[' ?? A perfect pick for daily use, this Polyester Trending Backpack can securely be used to carry mobile phone, cards, cosmetics, umbrella and other daily essential things in a safe, secure and arranged manner. No matter wherever you are heading to, it can be your companion for every hour of need.  ', ' ?? Stylish & Fashionable: This bag is designed for modern fashion-conscious individuals who desire style along with functionality. It is a perfect mid-sized bag to carry all the daily essentials while using it as a fashion day-pack, mini travel bag, college backpack etc.  ', ' ?? Product Material: It is made using the finest grade Polyester inner fabric to ensure durability at its best. Besides, it has sturdy, non-slip, and comfortable top loop handle as well as adjustable straps at its back to ensure you look cool everywhere - be it shopping, traveling, work or date.  ', ' ?? Bag Compartments: This stylish shoulder carry backpack contain 1 large main zippered compartments, 1 front Pocket and 1 inner pocket and mobile pocket to carry anything and everything you want in a secure and arranged manner that fits into this premium backpack.; ?? Zip closure with adjustable strap; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch; Water Resistance Level: Waterproof; Color Name: White  ', ' Water Resistance Level: Waterproof; Age Range Description: Adult; Special Features: Water Bottle Umbrella Pouch  ']",B08F7YYZTJ,Visit the DIVING DEEP Store
amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1658591147&smid=A2B3JTOLC77ES8&sprefix=ba%2Caps%2C283&sr=8-20,DEIN KLEIDER Men's Nylon Messenger Bag  ,271,4.0 out of 5 stars,"2,913","[' ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.  ', ' WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.  ', ' CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.  ', ' Outer Material Type: Nylon  ']",B084ZHP97M,Visit the DEIN KLEIDER Store
amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1658591147&sprefix=ba%2Caps%2C283&sr=8-21,Gear Carryon Backpack Black- Blue (BKPCARYON0110)  ,189,3.7 out of 5 stars,"4,635","[' Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.  ', ' Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)  ', ' Number of compartments: 1; Compatible Laptop Size : 15.4  ', ' Warranty Type: Manufacturer; 1 Year from the date of purchase  ', ' Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper  ']",B019HA8AYG,Brand: Gear
amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1658591147&sprefix=ba%2Caps%2C283&sr=8-22,ADISA Light Weight Laptop Backpack 32 Ltrs  ,509,4.0 out of 5 stars,"4,822","[' Adjustable Shoulder Handles / 2 Bottle holders / Padded Handle / Reflector Logo  ', ' Dimensions: LxWxH- 31 x 18 x 47 cms  ', ' Laptop: 15.6 inches and below (Bigger than 15.6 not recommended)  ', ' No. of Compartments: 3 with full padding  ', ' NOT INCLUDED: Laptop, Headphones & Cable (Images only for display)  ']",B07F3X45WZ,Visit the ADISA Store
